file,dataset,ged_column,cost_mode,model_name,test_k,max_train_pairs,max_test_pairs,mse,mae,acc,fea,rho,tau,pk1,pk5,pk10,pk15,pk20,time,run_time
result_SEABED_LUBM_test_BPR_1.json,LUBM,,,,,,,,0.551,0.641,1.0,0.856,0.794,,,0.913,,0.867,0.11172,
result_SEABED_LUBM_test_BPR_10.json,LUBM,,,,,,,,0.2,0.828,1.0,0.94,0.908,,,0.948,,0.892,0.12831,
result_SEABED_LUBM_test_BPR_100.json,LUBM,,,,,,,,0.12,0.892,1.0,0.964,0.942,,,0.956,,0.894,0.20508,
result_SEABED_LUBM_test_BPR_20260629_223750.json,LUBM,,,,,,,0.146,0.12,0.892,1.0,0.964,0.942,0.945,0.943,0.958,0.962,0.966,0.20417,0.206
result_SEABED_LUBM_test_BPR_20260701_211204.json,LUBM,,,,,,,0.35,0.253,0.79,1.0,0.938,0.899,0.875,0.882,0.929,0.936,0.947,0.23817,0.24043
result_SEABED_LUBM_test_BPR_20260701_234424.json,LUBM,,,,,,,0.845,0.471,0.668,1.0,0.871,0.812,0.765,0.814,0.873,0.902,0.917,0.34858,0.35201
result_SEABED_LUBM_test_BPR_20260701_234503.json,LUBM,,,,,,,0.422,0.288,0.767,1.0,0.928,0.885,0.85,0.868,0.912,0.923,0.937,0.34424,0.34801
result_SEABED_LUBM_test_BPR_gedcol3_unit_20260726_215308.json,LUBM,3,unit,GEDRankerSEABED_main_col3_unit,5,128,100,25.39,4.71,0.0,1.0,nan,nan,0.971,0.991,0.999,1.0,1.0,0.09767,0.09936
result_SEABED_LUBM_test_BPR_gedcol3_unit_20260726_215358.json,LUBM,3,unit,GEDRankerSEABED_main_col3_unit,5,128,100,24.91,4.63,0.0,1.0,nan,nan,0.971,0.988,0.999,1.0,1.0,0.09705,0.0987
result_SEABED_LUBM_test_BPR_gedcol3_unit_20260726_215721.json,LUBM,3,unit,GEDRankerSEABED_main_col3_unit,100,0,0,0.132,0.109,0.901,1.0,0.967,0.946,0.935,0.953,0.959,0.964,0.966,0.17105,0.17236
result_SEABED_SWDF_test_BPR.json,SWDF,,,,,,,,0.348,0.695,0.936,0.908,0.86,,,0.942,,0.884,0.21254,
result_SEABED_SWDF_test_BPR_gedcol3_unit_20260726_215411.json,SWDF,3,unit,GEDRankerSEABED_main_col3_unit,5,128,100,17.24,3.9,0.01,1.0,nan,nan,0.982,0.993,0.995,0.998,0.998,0.09656,0.09815
result_SEABED_SWDF_test_BPR_gedcol3_unit_20260727_005926.json,SWDF,3,unit,GEDRankerSEABED_main_col3_unit,100,0,0,0.426,0.338,0.702,0.936,0.912,0.864,0.69,0.801,0.879,0.907,0.932,0.17181,0.17295
result_SEABED_WIKIDATA_test_BPR.json,WIKIDATA,,,,,,,,44.943,0.005,1.0,0.89,0.771,,,0.821,,0.9,0.4149,
result_SEABED_WIKIDATA_test_BPR_20260629_235213.json,WIKIDATA,,,,,,,8.741,1.349,0.605,0.973,0.919,0.841,0.78,0.862,0.878,0.895,0.903,0.31308,0.31502
result_SEABED_WIKIDATA_test_BPR_gedcol3_unit_20260726_215520.json,WIKIDATA,3,unit,GEDRankerSEABED_main_col3_unit,5,128,100,2585.89,50.59,0.0,1.0,0.84,0.706,0.0,0.5,0.75,0.767,0.825,0.1001,0.10224
result_SEABED_WIKIDATA_test_BPR_gedcol3_unit_20260727_062631.json,WIKIDATA,3,unit,GEDRankerSEABED_main_col3_unit,100,0,0,5.901,0.972,0.677,0.967,0.939,0.877,0.8,0.885,0.909,0.918,0.927,0.2904,0.29154
result_SEABED_YAGO_test_BPR.json,YAGO,,,,,,,,1.192,0.709,1.0,0.905,0.837,,,0.934,,0.939,0.25394,
result_SEABED_YAGO_test_BPR_gedcol3_unit_20260726_215424.json,YAGO,3,unit,GEDRankerSEABED_main_col3_unit,5,128,100,1371.9,36.66,0.0,1.0,0.813,0.67,0.0,0.6,0.85,0.833,0.888,0.09915,0.10119
result_SEABED_YAGO_test_BPR_gedcol3_unit_20260727_040001.json,YAGO,3,unit,GEDRankerSEABED_main_col3_unit,100,0,0,5.501,0.837,0.777,1.0,0.933,0.879,0.885,0.917,0.927,0.931,0.938,0.22831,0.22943
